SLAMBench Report run started:	2023-09-02 12:45:23

Properties:
=================

frame-limit: 0
start-frame: 0
log-file: eds.txt
input: /home/nrad/slambench/datasets/UZHFPV/indoor_forward_5_davis_with_gt.slam
load-slam-library: ./libslam_eds-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
alignment-technique: new
gui: true
lifelong: false
Grey cam0-intrinsics-parameters: 0.4999709,0.6653194,0.4720705,0.519213

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	OrientationError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	X	Y	Z
1	1540821096.6123380661	-nan	360.0000100179	-nan	0.0000000000	0.0000000000	0.0082620000	11645084	0	0.0000000000	0.0000000000	0.0000000000
2	1540821096.6324419975	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0009250000	17942893	0	0.0000000000	0.0000000000	0.0000000000
3	1540821096.6330070496	-nan	360.0000100179	-nan	0.0000000000	-nan	0.2666640000	1002069280	0	0.0000000000	0.0000000000	0.0000000000
4	1540821096.6526241302	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0022630000	26250201	0	0.0000000000	0.0000000000	0.0000000000
5	1540821096.6652369499	-nan	360.0000100179	-nan	0.0000000000	-nan	0.1819090000	1014095193	0	0.0000000000	0.0000000000	0.0000000000
6	1540821096.6727221012	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0030530000	33574084	0	0.0000000000	0.0000000000	0.0000000000
7	1540821096.6927530766	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0025780000	34015485	0	0.0000000000	0.0000000000	0.0000000000
8	1540821096.6974689960	-nan	360.0000100179	-nan	0.0000000000	-nan	0.2240620000	1013819086	0	0.0000000000	0.0000000000	0.0000000000
9	1540821096.7129480839	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0026440000	33558970	0	0.0000000000	0.0000000000	0.0000000000
10	1540821096.7297029495	-nan	360.0000100179	-nan	0.0000000000	-nan	0.1762500000	1013351107	0	0.0000000000	0.0000000000	0.0000000000
11	1540821096.7331049442	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0913450000	36234732	0	0.0000000000	0.0000000000	0.0000000000
12	1540821096.7531859875	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0019900000	36236557	0	0.0000000000	0.0000000000	0.0000000000
13	1540821096.7619380951	-nan	360.0000100179	-nan	0.0000000000	-nan	0.1589360000	1016027158	0	0.0000000000	0.0000000000	0.0000000000
14	1540821096.7733900547	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0014410000	36240447	0	0.0000000000	0.0000000000	0.0000000000
15	1540821096.7935831547	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0053780000	36242272	0	0.0000000000	0.0000000000	0.0000000000
16	1540821096.7941739559	-nan	360.0000100179	-nan	0.0000000000	-nan	0.1568630000	1018008023	0	0.0000000000	0.0000000000	0.0000000000
17	1540821096.8136110306	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0011970000	36716751	0	0.0000000000	0.0000000000	0.0000000000
18	1540821096.8264091015	-nan	360.0000100179	-nan	0.0000000000	-nan	0.1577360000	1016506712	0	0.0000000000	0.0000000000	0.0000000000
